E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA
0.074,-1.606,0.074,-1.596,0.074,-1.578,0.093,-0.299,0.093,-0.307,0.09,-0.589,0.09,-0.595,0.074,-2.228,0.074,-2.253,0.074,-2.935,0.074,-2.975,0.074,-4.968,0.074,-5.796
0.073,-1.609,0.073,-1.603,0.073,-1.578,0.093,-0.304,0.093,-0.305,0.09,-0.59,0.09,-0.6,0.073,-2.231,0.073,-2.257,0.073,-2.938,0.073,-2.98,0.073,-5.043,0.073,-5.806
0.072,-1.618,0.072,-1.596,0.072,-1.584,0.093,-0.319,0.093,-0.324,0.089,-0.59,0.089,-0.597,0.072,-2.23,0.072,-2.256,0.072,-2.946,0.072,-2.978,0.072,-5.113,0.072,-5.81
0.071,-1.619,0.071,-1.603,0.071,-1.59,0.093,-0.304,0.093,-0.307,0.089,-0.615,0.089,-0.603,0.071,-2.239,0.071,-2.262,0.071,-2.96,0.071,-2.995,0.071,-5.191,0.071,-5.834
0.07,-1.621,0.07,-1.604,0.07,-1.59,0.092,-0.31,0.092,-0.308,0.089,-0.583,0.089,-0.597,0.07,-2.241,0.07,-2.259,0.07,-2.948,0.07,-2.998,0.07,-5.245,0.07,-5.825
0.069,-1.627,0.069,-1.609,0.069,-1.592,0.092,-0.307,0.092,-0.311,0.088,-0.592,0.088,-0.612,0.069,-2.244,0.069,-2.262,0.069,-2.972,0.069,-2.995,0.069,-5.306,0.069,-5.839
0.068,-1.627,0.068,-1.609,0.068,-1.592,0.092,-0.31,0.092,-0.32,0.088,-0.59,0.088,-0.612,0.068,-2.254,0.068,-2.264,0.068,-2.977,0.068,-3.003,0.068,-5.359,0.068,-5.839
0.067,-1.649,0.067,-1.63,0.067,-1.615,0.092,-0.313,0.092,-0.324,0.088,-0.584,0.088,-0.603,0.067,-2.279,0.067,-2.3,0.067,-3.012,0.067,-3.047,0.067,-5.441,0.067,-5.879
0.066,-1.65,0.066,-1.623,0.066,-1.606,0.091,-0.31,0.091,-0.311,0.087,-0.603,0.087,-0.607,0.066,-2.268,0.066,-2.287,0.066,-3.006,0.066,-3.032,0.066,-5.474,0.066,-5.877
0.065,-1.646,0.065,-1.621,0.065,-1.607,0.091,-0.297,0.091,-0.319,0.087,-0.601,0.087,-0.62,0.065,-2.267,0.065,-2.287,0.065,-3.003,0.065,-3.032,0.065,-5.514,0.065,-5.882
0.064,-1.647,0.064,-1.624,0.064,-1.606,0.091,-0.313,0.091,-0.316,0.086,-0.589,0.086,-0.6,0.064,-2.262,0.064,-2.281,0.064,-3,0.064,-3.026,0.064,-5.543,0.064,-5.882
0.063,-1.655,0.063,-1.621,0.063,-1.612,0.091,-0.328,0.091,-0.325,0.086,-0.603,0.086,-0.607,0.063,-2.274,0.063,-2.281,0.063,-3.006,0.063,-3.041,0.063,-5.592,0.063,-5.889
0.062,-1.653,0.062,-1.624,0.062,-1.61,0.09,-0.32,0.09,-0.313,0.086,-0.6,0.086,-0.603,0.062,-2.267,0.062,-2.284,0.062,-3.006,0.062,-3.034,0.062,-5.621,0.062,-5.892
0.061,-1.658,0.061,-1.624,0.061,-1.607,0.09,-0.317,0.09,-0.305,0.085,-0.597,0.085,-0.606,0.061,-2.27,0.061,-2.284,0.061,-3.009,0.061,-3.038,0.061,-5.647,0.061,-5.895
0.06,-1.529,0.06,-1.457,0.06,-1.423,0.09,-0.316,0.09,-0.327,0.085,-0.607,0.085,-0.63,0.06,-2.112,0.06,-2.116,0.06,-2.885,0.06,-2.903,0.06,-5.618,0.06,-5.837
0.061,-1.161,0.061,-0.981,0.061,-0.916,0.09,-0.288,0.09,-0.316,0.085,-0.593,0.085,-0.603,0.061,-1.647,0.061,-1.626,0.061,-2.472,0.061,-2.461,0.061,-5.386,0.061,-5.56
0.062,-0.738,0.062,-0.463,0.062,-0.371,0.089,-0.308,0.089,-0.32,0.084,-0.609,0.084,-0.61,0.062,-1.072,0.062,-1.035,0.062,-1.929,0.062,-1.906,0.062,-5.056,0.062,-5.162
0.063,-0.307,0.063,0.005,0.063,0.101,0.089,-0.311,0.089,-0.313,0.084,-0.59,0.084,-0.613,0.063,-0.491,0.063,-0.443,0.063,-1.333,0.063,-1.296,0.063,-4.622,0.063,-4.661
0.064,0.058,0.064,0.377,0.064,0.469,0.089,-0.322,0.089,-0.325,0.084,-0.607,0.084,-0.595,0.064,0.008,0.064,0.063,0.064,-0.768,0.064,-0.716,0.064,-4.127,0.064,-4.112
0.065,0.37,0.065,0.67,0.065,0.755,0.089,-0.317,0.089,-0.317,0.083,-0.632,0.083,-0.647,0.065,0.451,0.065,0.497,0.065,-0.23,0.065,-0.179,0.065,-3.595,0.065,-3.526
0.066,0.611,0.066,0.883,0.066,0.953,0.088,-0.313,0.088,-0.324,0.083,-0.595,0.083,-0.613,0.066,0.808,0.066,0.854,0.066,0.252,0.066,0.295,0.066,-3.053,0.066,-2.931
0.067,0.83,0.067,1.069,0.067,1.127,0.088,-0.319,0.088,-0.311,0.082,-0.606,0.082,-0.623,0.067,1.137,0.067,1.18,0.067,0.707,0.067,0.75,0.067,-2.457,0.067,-2.296
0.068,0.976,0.068,1.172,0.068,1.221,0.088,-0.31,0.088,-0.327,0.082,-0.574,0.082,-0.613,0.068,1.379,0.068,1.397,0.068,1.069,0.068,1.106,0.068,-1.906,0.068,-1.724
0.069,1.087,0.069,1.253,0.069,1.293,0.088,-0.307,0.088,-0.319,0.082,-0.643,0.082,-0.62,0.069,1.555,0.069,1.569,0.069,1.374,0.069,1.411,0.069,-1.366,0.069,-1.144
0.07,1.178,0.07,1.302,0.07,1.334,0.087,-0.316,0.087,-0.319,0.081,-0.597,0.081,-0.601,0.07,1.695,0.07,1.706,0.07,1.63,0.07,1.664,0.07,-0.851,0.07,-0.623
0.071,1.245,0.071,1.348,0.071,1.379,0.087,-0.314,0.087,-0.316,0.081,-0.603,0.081,-0.624,0.071,1.821,0.071,1.818,0.071,1.857,0.071,1.885,0.071,-0.347,0.071,-0.098
0.072,1.29,0.072,1.374,0.072,1.382,0.087,-0.327,0.087,-0.32,0.081,-0.623,0.081,-0.61,0.072,1.897,0.072,1.905,0.072,2.045,0.072,2.06,0.072,0.129,0.072,0.384
0.073,1.334,0.073,1.394,0.073,1.411,0.087,-0.313,0.087,-0.32,0.08,-0.616,0.08,-0.618,0.073,1.962,0.073,1.966,0.073,2.201,0.073,2.21,0.073,0.578,0.073,0.834
0.074,1.359,0.074,1.405,0.074,1.414,0.086,-0.32,0.086,-0.311,0.08,-0.612,0.08,-0.616,0.074,2.023,0.074,2.009,0.074,2.328,0.074,2.334,0.074,0.991,0.074,1.244
0.075,1.385,0.075,1.428,0.075,1.437,0.086,-0.311,0.086,-0.32,0.079,-0.613,0.079,-0.61,0.075,2.072,0.075,2.068,0.075,2.442,0.075,2.445,0.075,1.41,0.075,1.652
0.076,1.4,0.076,1.431,0.076,1.434,0.086,-0.324,0.086,-0.325,0.079,-0.61,0.079,-0.624,0.076,2.095,0.076,2.077,0.076,2.525,0.076,2.528,0.076,1.775,0.076,2.003
0.077,1.405,0.077,1.437,0.077,1.445,0.086,-0.316,0.086,-0.319,0.079,-0.607,0.079,-0.624,0.077,2.12,0.077,2.103,0.077,2.6,0.077,2.592,0.077,2.118,0.077,2.337
0.078,1.416,0.078,1.434,0.078,1.443,0.086,-0.304,0.086,-0.316,0.078,-0.618,0.078,-0.609,0.078,2.126,0.078,2.12,0.078,2.653,0.078,2.644,0.078,2.422,0.078,2.629
0.079,1.434,0.079,1.442,0.079,1.448,0.085,-0.307,0.085,-0.316,0.078,-0.598,0.078,-0.616,0.079,2.146,0.079,2.155,0.079,2.713,0.079,2.686,0.079,2.725,0.079,2.928
0.08,1.442,0.08,1.448,0.08,1.446,0.085,-0.327,0.085,-0.331,0.077,-0.616,0.077,-0.62,0.08,2.16,0.08,2.14,0.08,2.744,0.08,2.727,0.08,2.986,0.08,3.169
0.081,1.436,0.081,1.443,0.081,1.453,0.085,-0.314,0.085,-0.308,0.077,-0.624,0.077,-0.63,0.081,2.169,0.081,2.156,0.081,2.778,0.081,2.762,0.081,3.233,0.081,3.414
0.082,1.44,0.082,1.445,0.082,1.448,0.085,-0.314,0.085,-0.31,0.077,-0.598,0.077,-0.607,0.082,2.163,0.082,2.156,0.082,2.793,0.082,2.785,0.082,3.456,0.082,3.626
0.083,1.449,0.083,1.454,0.083,1.46,0.084,-0.314,0.084,-0.316,0.076,-0.613,0.076,-0.606,0.083,2.19,0.083,2.173,0.083,2.836,0.083,2.831,0.083,3.693,0.083,3.848
0.084,1.448,0.084,1.449,0.084,1.454,0.084,-0.311,0.084,-0.334,0.076,-0.606,0.076,-0.6,0.084,2.179,0.084,2.173,0.084,2.848,0.084,2.833,0.084,3.868,0.084,4.008
