E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA
0.34,0.953,0.34,1.092,0.34,1.149,0.1,0.284,0.1,0.282,0.14,0.534,0.14,0.543,0.34,1.443,0.34,1.413,0.34,1.627,0.34,1.591,0.34,1.952,0.34,1.943
0.341,0.982,0.341,1.132,0.341,1.183,0.1,0.285,0.1,0.282,0.14,0.528,0.14,0.525,0.341,1.485,0.341,1.446,0.341,1.676,0.341,1.647,0.341,2.018,0.341,2
0.342,1.009,0.342,1.16,0.342,1.212,0.101,0.278,0.101,0.272,0.141,0.515,0.141,0.528,0.342,1.518,0.342,1.48,0.342,1.73,0.342,1.689,0.342,2.071,0.342,2.057
0.343,1.043,0.343,1.192,0.343,1.253,0.101,0.265,0.101,0.265,0.141,0.518,0.141,0.541,0.343,1.554,0.343,1.505,0.343,1.773,0.343,1.739,0.343,2.137,0.343,2.123
0.344,1.071,0.344,1.224,0.344,1.281,0.101,0.281,0.101,0.281,0.141,0.525,0.141,0.531,0.344,1.571,0.344,1.523,0.344,1.807,0.344,1.782,0.344,2.193,0.344,2.175
0.345,1.103,0.345,1.253,0.345,1.302,0.101,0.273,0.101,0.261,0.142,0.505,0.142,0.512,0.345,1.589,0.345,1.531,0.345,1.853,0.345,1.816,0.345,2.271,0.345,2.235
0.346,1.144,0.346,1.278,0.346,1.325,0.102,0.278,0.102,0.273,0.142,0.525,0.142,0.514,0.346,1.597,0.346,1.531,0.346,1.89,0.346,1.845,0.346,2.327,0.346,2.299
0.347,1.161,0.347,1.302,0.347,1.339,0.102,0.273,0.102,0.27,0.142,0.514,0.142,0.529,0.347,1.592,0.347,1.534,0.347,1.914,0.347,1.867,0.347,2.397,0.347,2.37
0.348,1.195,0.348,1.322,0.348,1.344,0.102,0.278,0.102,0.276,0.143,0.551,0.143,0.551,0.348,1.578,0.348,1.502,0.348,1.928,0.348,1.88,0.348,2.456,0.348,2.425
0.349,1.216,0.349,1.331,0.349,1.339,0.102,0.275,0.102,0.267,0.143,0.525,0.143,0.506,0.349,1.551,0.349,1.48,0.349,1.939,0.349,1.893,0.349,2.525,0.349,2.497
0.35,1.239,0.35,1.333,0.35,1.316,0.102,0.276,0.102,0.273,0.143,0.512,0.143,0.512,0.35,1.512,0.35,1.423,0.35,1.945,0.35,1.883,0.35,2.587,0.35,2.549
0.351,1.264,0.351,1.33,0.351,1.295,0.103,0.273,0.103,0.275,0.144,0.537,0.144,0.517,0.351,1.459,0.351,1.368,0.351,1.925,0.351,1.871,0.351,2.649,0.351,2.61
0.352,1.285,0.352,1.311,0.352,1.25,0.103,0.285,0.103,0.282,0.144,0.523,0.144,0.515,0.352,1.383,0.352,1.299,0.352,1.903,0.352,1.841,0.352,2.71,0.352,2.667
0.353,1.301,0.353,1.276,0.353,1.195,0.103,0.275,0.103,0.272,0.145,0.503,0.145,0.506,0.353,1.299,0.353,1.207,0.353,1.865,0.353,1.798,0.353,2.77,0.353,2.724
0.354,1.31,0.354,1.233,0.354,1.114,0.103,0.279,0.103,0.276,0.145,0.526,0.145,0.531,0.354,1.201,0.354,1.109,0.354,1.821,0.354,1.736,0.354,2.828,0.354,2.767
0.355,1.319,0.355,1.176,0.355,1.026,0.104,0.281,0.104,0.261,0.145,0.497,0.145,0.511,0.355,1.097,0.355,1.009,0.355,1.752,0.355,1.669,0.355,2.891,0.355,2.827
0.356,1.318,0.356,1.098,0.356,0.916,0.104,0.275,0.104,0.276,0.146,0.515,0.146,0.52,0.356,0.98,0.356,0.9,0.356,1.67,0.356,1.586,0.356,2.937,0.356,2.863
0.357,1.301,0.357,1.003,0.357,0.798,0.104,0.275,0.104,0.267,0.146,0.518,0.146,0.518,0.357,0.874,0.357,0.796,0.357,1.571,0.357,1.485,0.357,2.983,0.357,2.916
0.358,1.276,0.358,0.907,0.358,0.678,0.104,0.276,0.104,0.27,0.146,0.506,0.146,0.517,0.358,0.764,0.358,0.706,0.358,1.46,0.358,1.379,0.358,3.02,0.358,2.939
0.359,1.244,0.359,0.795,0.359,0.577,0.105,0.276,0.105,0.281,0.147,0.545,0.147,0.555,0.359,0.676,0.359,0.626,0.359,1.339,0.359,1.262,0.359,3.057,0.359,2.965
0.36,1.201,0.36,0.675,0.36,0.477,0.105,0.281,0.105,0.279,0.147,0.511,0.147,0.522,0.36,0.586,0.36,0.545,0.36,1.222,0.36,1.147,0.36,3.075,0.36,2.977
0.361,1.143,0.361,0.577,0.361,0.403,0.105,0.29,0.105,0.27,0.148,0.514,0.148,0.522,0.361,0.528,0.361,0.494,0.361,1.091,0.361,1.029,0.361,3.092,0.361,2.982
0.362,1.071,0.362,0.482,0.362,0.347,0.105,0.279,0.105,0.273,0.148,0.528,0.148,0.529,0.362,0.468,0.362,0.434,0.362,0.969,0.362,0.923,0.362,3.104,0.362,2.982
0.363,0.979,0.363,0.407,0.363,0.305,0.106,0.264,0.106,0.264,0.148,0.511,0.148,0.517,0.363,0.417,0.363,0.402,0.363,0.851,0.363,0.819,0.363,3.1,0.363,2.971
0.364,0.887,0.364,0.357,0.364,0.276,0.106,0.276,0.106,0.279,0.149,0.517,0.149,0.52,0.364,0.387,0.364,0.371,0.364,0.764,0.364,0.73,0.364,3.084,0.364,2.949
0.365,0.772,0.365,0.304,0.365,0.25,0.106,0.273,0.106,0.261,0.149,0.526,0.149,0.52,0.365,0.364,0.365,0.351,0.365,0.673,0.365,0.655,0.365,3.067,0.365,2.916
0.366,0.67,0.366,0.272,0.366,0.235,0.106,0.275,0.106,0.275,0.149,0.505,0.149,0.525,0.366,0.341,0.366,0.328,0.366,0.597,0.366,0.581,0.366,3.017,0.366,2.867
0.367,0.577,0.367,0.252,0.367,0.219,0.107,0.272,0.107,0.272,0.15,0.505,0.15,0.508,0.367,0.327,0.367,0.316,0.367,0.538,0.367,0.534,0.367,2.972,0.367,2.807
0.368,0.491,0.368,0.236,0.368,0.216,0.107,0.285,0.107,0.279,0.15,0.52,0.15,0.517,0.368,0.313,0.368,0.307,0.368,0.503,0.368,0.491,0.368,2.9,0.368,2.722
0.369,0.425,0.369,0.227,0.369,0.209,0.107,0.281,0.107,0.272,0.151,0.511,0.151,0.497,0.369,0.295,0.369,0.291,0.369,0.465,0.369,0.463,0.369,2.827,0.369,2.644
0.37,0.368,0.37,0.221,0.37,0.199,0.107,0.278,0.107,0.27,0.151,0.517,0.151,0.511,0.37,0.296,0.37,0.287,0.37,0.44,0.37,0.43,0.37,2.732,0.37,2.535
0.371,0.327,0.371,0.21,0.371,0.199,0.108,0.281,0.108,0.259,0.151,0.509,0.151,0.517,0.371,0.284,0.371,0.285,0.371,0.416,0.371,0.416,0.371,2.633,0.371,2.428
0.372,0.293,0.372,0.199,0.372,0.195,0.108,0.279,0.108,0.276,0.152,0.529,0.152,0.514,0.372,0.279,0.372,0.278,0.372,0.4,0.372,0.394,0.372,2.5,0.372,2.302
0.373,0.272,0.373,0.195,0.373,0.187,0.108,0.276,0.108,0.279,0.152,0.506,0.152,0.502,0.373,0.279,0.373,0.272,0.373,0.385,0.373,0.393,0.373,2.376,0.373,2.166
0.374,0.25,0.374,0.195,0.374,0.183,0.108,0.278,0.108,0.278,0.152,0.517,0.152,0.505,0.374,0.268,0.374,0.264,0.374,0.38,0.374,0.379,0.374,2.224,0.374,2.018
0.375,0.244,0.375,0.192,0.375,0.187,0.109,0.272,0.109,0.273,0.153,0.522,0.153,0.509,0.375,0.268,0.375,0.264,0.375,0.376,0.375,0.365,0.375,2.074,0.375,1.88
0.376,0.233,0.376,0.19,0.376,0.184,0.109,0.293,0.109,0.293,0.153,0.5,0.153,0.508,0.376,0.258,0.376,0.27,0.376,0.362,0.376,0.356,0.376,1.923,0.376,1.732
0.377,0.226,0.377,0.186,0.377,0.172,0.109,0.288,0.109,0.262,0.154,0.506,0.154,0.518,0.377,0.261,0.377,0.256,0.377,0.354,0.377,0.351,0.377,1.779,0.377,1.6
0.378,0.224,0.378,0.184,0.378,0.175,0.11,0.282,0.11,0.273,0.154,0.506,0.154,0.492,0.378,0.259,0.378,0.255,0.378,0.348,0.378,0.344,0.378,1.632,0.378,1.468
0.379,0.216,0.379,0.183,0.379,0.172,0.11,0.272,0.11,0.268,0.154,0.509,0.154,0.508,0.379,0.256,0.379,0.253,0.379,0.334,0.379,0.341,0.379,1.491,0.379,1.35
0.38,0.215,0.38,0.175,0.38,0.173,0.11,0.29,0.11,0.268,0.155,0.541,0.155,0.526,0.38,0.256,0.38,0.247,0.38,0.336,0.38,0.344,0.38,1.354,0.38,1.23
0.381,0.215,0.381,0.18,0.381,0.17,0.11,0.276,0.11,0.264,0.155,0.495,0.155,0.499,0.381,0.245,0.381,0.244,0.381,0.333,0.381,0.334,0.381,1.245,0.381,1.13
0.382,0.207,0.382,0.173,0.382,0.166,0.111,0.279,0.111,0.265,0.155,0.515,0.155,0.517,0.382,0.252,0.382,0.245,0.382,0.336,0.382,0.331,0.382,1.138,0.382,1.043
0.383,0.204,0.383,0.178,0.383,0.169,0.111,0.276,0.111,0.272,0.156,0.503,0.156,0.5,0.383,0.252,0.383,0.245,0.383,0.327,0.383,0.336,0.383,1.04,0.383,0.974
0.384,0.206,0.384,0.178,0.384,0.169,0.111,0.281,0.111,0.285,0.156,0.503,0.156,0.514,0.384,0.252,0.384,0.241,0.384,0.333,0.384,0.341,0.384,0.965,0.384,0.9
0.385,0.203,0.385,0.17,0.385,0.172,0.111,0.282,0.111,0.256,0.157,0.514,0.157,0.494,0.385,0.255,0.385,0.23,0.385,0.327,0.385,0.327,0.385,0.902,0.385,0.857
0.386,0.203,0.386,0.173,0.386,0.164,0.112,0.276,0.112,0.279,0.157,0.523,0.157,0.503,0.386,0.239,0.386,0.245,0.386,0.324,0.386,0.325,0.386,0.853,0.386,0.805
0.387,0.203,0.387,0.175,0.387,0.164,0.112,0.27,0.112,0.272,0.157,0.509,0.157,0.502,0.387,0.25,0.387,0.244,0.387,0.319,0.387,0.327,0.387,0.816,0.387,0.779
0.388,0.195,0.388,0.167,0.388,0.172,0.112,0.273,0.112,0.276,0.158,0.511,0.158,0.506,0.388,0.242,0.388,0.241,0.388,0.327,0.388,0.325,0.388,0.775,0.388,0.752
0.389,0.198,0.389,0.169,0.389,0.164,0.112,0.272,0.112,0.255,0.158,0.503,0.158,0.494,0.389,0.244,0.389,0.247,0.389,0.315,0.389,0.325,0.389,0.745,0.389,0.735
0.39,0.198,0.39,0.172,0.39,0.16,0.113,0.275,0.113,0.265,0.159,0.488,0.159,0.511,0.39,0.242,0.39,0.244,0.39,0.31,0.39,0.318,0.39,0.722,0.39,0.706
0.391,0.196,0.391,0.167,0.391,0.163,0.113,0.275,0.113,0.272,0.159,0.517,0.159,0.505,0.391,0.245,0.391,0.239,0.391,0.315,0.391,0.319,0.391,0.713,0.391,0.704
0.392,0.195,0.392,0.167,0.392,0.16,0.113,0.279,0.113,0.288,0.159,0.509,0.159,0.5,0.392,0.239,0.392,0.247,0.392,0.315,0.392,0.313,0.392,0.692,0.392,0.689
0.393,0.192,0.393,0.163,0.393,0.158,0.113,0.272,0.113,0.258,0.16,0.491,0.16,0.494,0.393,0.235,0.393,0.239,0.393,0.308,0.393,0.321,0.393,0.687,0.393,0.678
0.394,0.198,0.394,0.166,0.394,0.16,0.114,0.268,0.114,0.264,0.16,0.514,0.16,0.495,0.394,0.238,0.394,0.242,0.394,0.31,0.394,0.316,0.394,0.689,0.394,0.67
0.395,0.199,0.395,0.172,0.395,0.157,0.114,0.267,0.114,0.272,0.16,0.492,0.16,0.492,0.395,0.239,0.395,0.238,0.395,0.31,0.395,0.315,0.395,0.667,0.395,0.669
0.396,0.19,0.396,0.163,0.396,0.163,0.114,0.272,0.114,0.27,0.161,0.497,0.161,0.502,0.396,0.236,0.396,0.242,0.396,0.315,0.396,0.315,0.396,0.661,0.396,0.661
0.397,0.192,0.397,0.164,0.397,0.158,0.114,0.275,0.114,0.279,0.161,0.503,0.161,0.486,0.397,0.239,0.397,0.238,0.397,0.31,0.397,0.318,0.397,0.655,0.397,0.658
0.398,0.195,0.398,0.167,0.398,0.153,0.115,0.27,0.115,0.255,0.162,0.503,0.162,0.506,0.398,0.245,0.398,0.238,0.398,0.316,0.398,0.313,0.398,0.658,0.398,0.653
0.399,0.189,0.399,0.167,0.399,0.153,0.115,0.262,0.115,0.267,0.162,0.491,0.162,0.494,0.399,0.242,0.399,0.245,0.399,0.308,0.399,0.315,0.399,0.649,0.399,0.657
0.4,0.195,0.4,0.164,0.4,0.158,0.115,0.291,0.115,0.281,0.162,0.503,0.162,0.497,0.4,0.239,0.4,0.244,0.4,0.322,0.4,0.31,0.4,0.652,0.4,0.644
0.401,0.187,0.401,0.161,0.401,0.155,0.115,0.281,0.115,0.276,0.163,0.489,0.163,0.495,0.401,0.238,0.401,0.244,0.401,0.311,0.401,0.321,0.401,0.649,0.401,0.643
0.402,0.189,0.402,0.172,0.402,0.157,0.116,0.272,0.116,0.273,0.163,0.506,0.163,0.514,0.402,0.244,0.402,0.238,0.402,0.31,0.402,0.31,0.402,0.64,0.402,0.64
0.403,0.187,0.403,0.166,0.403,0.157,0.116,0.273,0.116,0.275,0.163,0.506,0.163,0.505,0.403,0.241,0.403,0.249,0.403,0.318,0.403,0.311,0.403,0.638,0.403,0.643
0.404,0.187,0.404,0.166,0.404,0.158,0.116,0.272,0.116,0.273,0.164,0.511,0.164,0.497,0.404,0.239,0.404,0.241,0.404,0.318,0.404,0.315,0.404,0.634,0.404,0.646
0.405,0.192,0.405,0.169,0.405,0.153,0.116,0.285,0.116,0.265,0.164,0.485,0.164,0.485,0.405,0.235,0.405,0.241,0.405,0.316,0.405,0.31,0.405,0.64,0.405,0.641
0.406,0.187,0.406,0.163,0.406,0.161,0.117,0.275,0.117,0.268,0.165,0.502,0.165,0.5,0.406,0.25,0.406,0.235,0.406,0.316,0.406,0.315,0.406,0.644,0.406,0.64
0.407,0.189,0.407,0.16,0.407,0.161,0.117,0.272,0.117,0.261,0.165,0.492,0.165,0.491,0.407,0.241,0.407,0.244,0.407,0.313,0.407,0.315,0.407,0.641,0.407,0.641
0.408,0.183,0.408,0.163,0.408,0.158,0.117,0.273,0.117,0.272,0.165,0.499,0.165,0.499,0.408,0.235,0.408,0.233,0.408,0.321,0.408,0.31,0.408,0.634,0.408,0.635
0.409,0.186,0.409,0.153,0.409,0.153,0.117,0.273,0.117,0.264,0.166,0.486,0.166,0.483,0.409,0.244,0.409,0.238,0.409,0.307,0.409,0.311,0.409,0.638,0.409,0.643
0.41,0.189,0.41,0.157,0.41,0.157,0.117,0.276,0.117,0.267,0.166,0.495,0.166,0.488,0.41,0.244,0.41,0.241,0.41,0.321,0.41,0.316,0.41,0.637,0.41,0.635
0.411,0.184,0.411,0.157,0.411,0.155,0.118,0.272,0.118,0.273,0.166,0.494,0.166,0.491,0.411,0.236,0.411,0.238,0.411,0.321,0.411,0.327,0.411,0.64,0.411,0.632
0.412,0.187,0.412,0.158,0.412,0.152,0.118,0.278,0.118,0.265,0.167,0.514,0.167,0.515,0.412,0.236,0.412,0.238,0.412,0.311,0.412,0.315,0.412,0.638,0.412,0.638
0.413,0.187,0.413,0.16,0.413,0.158,0.118,0.264,0.118,0.252,0.167,0.495,0.167,0.479,0.413,0.239,0.413,0.233,0.413,0.318,0.413,0.318,0.413,0.647,0.413,0.644
0.414,0.183,0.414,0.16,0.414,0.15,0.118,0.275,0.118,0.273,0.168,0.497,0.168,0.483,0.414,0.239,0.414,0.239,0.414,0.319,0.414,0.318,0.414,0.637,0.414,0.641
0.415,0.186,0.415,0.155,0.415,0.153,0.119,0.267,0.119,0.261,0.168,0.502,0.168,0.483,0.415,0.238,0.415,0.241,0.415,0.311,0.415,0.315,0.415,0.634,0.415,0.644
0.416,0.183,0.416,0.158,0.416,0.15,0.119,0.298,0.119,0.29,0.168,0.488,0.168,0.483,0.416,0.239,0.416,0.241,0.416,0.327,0.416,0.315,0.416,0.637,0.416,0.64
0.417,0.181,0.417,0.163,0.417,0.147,0.119,0.276,0.119,0.265,0.169,0.492,0.169,0.485,0.417,0.241,0.417,0.239,0.417,0.308,0.417,0.318,0.417,0.647,0.417,0.64
0.418,0.178,0.418,0.158,0.418,0.149,0.119,0.276,0.119,0.267,0.169,0.499,0.169,0.492,0.418,0.238,0.418,0.236,0.418,0.315,0.418,0.308,0.418,0.641,0.418,0.638
0.419,0.176,0.419,0.161,0.419,0.141,0.12,0.267,0.12,0.273,0.169,0.488,0.169,0.492,0.419,0.236,0.419,0.232,0.419,0.311,0.419,0.313,0.419,0.65,0.419,0.64
0.42,0.176,0.42,0.153,0.42,0.152,0.12,0.279,0.12,0.273,0.17,0.502,0.17,0.495,0.42,0.241,0.42,0.238,0.42,0.321,0.42,0.313,0.42,0.646,0.42,0.637
0.421,0.176,0.421,0.158,0.421,0.147,0.12,0.273,0.12,0.255,0.17,0.472,0.17,0.497,0.421,0.238,0.421,0.233,0.421,0.31,0.421,0.313,0.421,0.65,0.421,0.641
0.422,0.18,0.422,0.152,0.422,0.16,0.12,0.275,0.12,0.265,0.171,0.488,0.171,0.468,0.422,0.242,0.422,0.233,0.422,0.316,0.422,0.31,0.422,0.641,0.422,0.64
0.423,0.181,0.423,0.15,0.423,0.149,0.121,0.27,0.121,0.265,0.171,0.499,0.171,0.506,0.423,0.232,0.423,0.236,0.423,0.316,0.423,0.31,0.423,0.638,0.423,0.64
0.424,0.178,0.424,0.15,0.424,0.144,0.121,0.281,0.121,0.276,0.171,0.477,0.171,0.492,0.424,0.233,0.424,0.241,0.424,0.318,0.424,0.316,0.424,0.64,0.424,0.64
0.425,0.178,0.425,0.153,0.425,0.141,0.121,0.279,0.121,0.272,0.172,0.485,0.172,0.465,0.425,0.239,0.425,0.236,0.425,0.311,0.425,0.316,0.425,0.641,0.425,0.637
0.426,0.178,0.426,0.152,0.426,0.146,0.121,0.273,0.121,0.261,0.172,0.495,0.172,0.489,0.426,0.236,0.426,0.235,0.426,0.315,0.426,0.311,0.426,0.644,0.426,0.638
0.427,0.172,0.427,0.155,0.427,0.143,0.122,0.267,0.122,0.267,0.172,0.477,0.172,0.492,0.427,0.245,0.427,0.236,0.427,0.318,0.427,0.311,0.427,0.643,0.427,0.635
0.428,0.176,0.428,0.147,0.428,0.143,0.122,0.272,0.122,0.265,0.173,0.506,0.173,0.491,0.428,0.235,0.428,0.232,0.428,0.315,0.428,0.313,0.428,0.646,0.428,0.647
0.429,0.172,0.429,0.149,0.429,0.147,0.122,0.275,0.122,0.259,0.173,0.495,0.173,0.46,0.429,0.238,0.429,0.233,0.429,0.307,0.429,0.308,0.429,0.644,0.429,0.64
0.43,0.175,0.43,0.153,0.43,0.144,0.122,0.265,0.122,0.264,0.173,0.482,0.173,0.485,0.43,0.239,0.43,0.239,0.43,0.315,0.43,0.305,0.43,0.641,0.43,0.65
0.431,0.172,0.431,0.147,0.431,0.143,0.123,0.261,0.123,0.256,0.174,0.474,0.174,0.471,0.431,0.235,0.431,0.235,0.431,0.308,0.431,0.313,0.431,0.644,0.431,0.637
0.432,0.175,0.432,0.146,0.432,0.14,0.123,0.287,0.123,0.276,0.174,0.471,0.174,0.476,0.432,0.235,0.432,0.239,0.432,0.311,0.432,0.305,0.432,0.644,0.432,0.641
0.433,0.167,0.433,0.153,0.433,0.144,0.123,0.273,0.123,0.259,0.175,0.483,0.175,0.483,0.433,0.242,0.433,0.235,0.433,0.305,0.433,0.318,0.433,0.644,0.433,0.646
0.434,0.172,0.434,0.146,0.434,0.144,0.123,0.272,0.123,0.273,0.175,0.488,0.175,0.486,0.434,0.238,0.434,0.236,0.434,0.313,0.434,0.31,0.434,0.653,0.434,0.638
0.435,0.17,0.435,0.146,0.435,0.135,0.124,0.27,0.124,0.27,0.175,0.476,0.175,0.469,0.435,0.235,0.435,0.23,0.435,0.307,0.435,0.316,0.435,0.646,0.435,0.644
0.436,0.173,0.436,0.146,0.436,0.141,0.124,0.267,0.124,0.265,0.176,0.486,0.176,0.469,0.436,0.241,0.436,0.235,0.436,0.316,0.436,0.318,0.436,0.653,0.436,0.65
0.437,0.169,0.437,0.149,0.437,0.144,0.124,0.272,0.124,0.261,0.176,0.468,0.176,0.474,0.437,0.235,0.437,0.233,0.437,0.304,0.437,0.315,0.437,0.65,0.437,0.653
0.438,0.161,0.438,0.144,0.438,0.141,0.125,0.275,0.125,0.261,0.176,0.479,0.176,0.479,0.438,0.232,0.438,0.23,0.438,0.31,0.438,0.315,0.438,0.652,0.438,0.65
0.439,0.169,0.439,0.146,0.439,0.143,0.125,0.264,0.125,0.27,0.177,0.479,0.177,0.465,0.439,0.239,0.439,0.23,0.439,0.308,0.439,0.307,0.439,0.65,0.439,0.647
0.44,0.161,0.44,0.147,0.44,0.144,0.125,0.272,0.125,0.272,0.177,0.482,0.177,0.485,0.44,0.238,0.44,0.238,0.44,0.318,0.44,0.308,0.44,0.661,0.44,0.65
0.441,0.167,0.441,0.141,0.441,0.141,0.125,0.272,0.125,0.261,0.178,0.46,0.178,0.46,0.441,0.233,0.441,0.233,0.441,0.31,0.441,0.316,0.441,0.657,0.441,0.644
0.442,0.166,0.442,0.146,0.442,0.141,0.126,0.267,0.126,0.268,0.178,0.465,0.178,0.459,0.442,0.241,0.442,0.238,0.442,0.318,0.442,0.319,0.442,0.661,0.442,0.653
0.443,0.166,0.443,0.146,0.443,0.14,0.126,0.275,0.126,0.259,0.178,0.485,0.178,0.474,0.443,0.232,0.443,0.232,0.443,0.308,0.443,0.31,0.443,0.66,0.443,0.652
0.444,0.164,0.444,0.14,0.444,0.138,0.126,0.273,0.126,0.262,0.179,0.486,0.179,0.494,0.444,0.233,0.444,0.23,0.444,0.324,0.444,0.311,0.444,0.661,0.444,0.653
0.445,0.164,0.445,0.144,0.445,0.137,0.126,0.273,0.126,0.262,0.179,0.479,0.179,0.468,0.445,0.232,0.445,0.236,0.445,0.321,0.445,0.318,0.445,0.661,0.445,0.664
0.446,0.161,0.446,0.149,0.446,0.141,0.127,0.268,0.127,0.267,0.179,0.469,0.179,0.474,0.446,0.235,0.446,0.238,0.446,0.325,0.446,0.308,0.446,0.66,0.446,0.652
0.447,0.166,0.447,0.143,0.447,0.14,0.127,0.256,0.127,0.252,0.18,0.491,0.18,0.46,0.447,0.233,0.447,0.233,0.447,0.315,0.447,0.318,0.447,0.663,0.447,0.657
0.448,0.16,0.448,0.144,0.448,0.138,0.127,0.285,0.127,0.273,0.18,0.477,0.18,0.453,0.448,0.235,0.448,0.233,0.448,0.321,0.448,0.318,0.448,0.669,0.448,0.657
0.449,0.166,0.449,0.146,0.449,0.138,0.127,0.268,0.127,0.258,0.181,0.457,0.181,0.466,0.449,0.238,0.449,0.236,0.449,0.316,0.449,0.316,0.449,0.669,0.449,0.661
0.45,0.155,0.45,0.149,0.45,0.14,0.128,0.264,0.128,0.265,0.181,0.474,0.181,0.457,0.45,0.233,0.45,0.233,0.45,0.327,0.45,0.318,0.45,0.67,0.45,0.666
0.451,0.166,0.451,0.144,0.451,0.137,0.128,0.267,0.128,0.267,0.181,0.457,0.181,0.465,0.451,0.239,0.451,0.232,0.451,0.319,0.451,0.319,0.451,0.675,0.451,0.669
0.452,0.172,0.452,0.144,0.452,0.137,0.128,0.279,0.128,0.27,0.182,0.463,0.182,0.465,0.452,0.238,0.452,0.23,0.452,0.325,0.452,0.325,0.452,0.68,0.452,0.666
0.453,0.166,0.453,0.143,0.453,0.138,0.128,0.279,0.128,0.261,0.182,0.457,0.182,0.446,0.453,0.235,0.453,0.23,0.453,0.319,0.453,0.325,0.453,0.678,0.453,0.667
0.454,0.16,0.454,0.14,0.454,0.14,0.129,0.275,0.129,0.265,0.182,0.46,0.182,0.471,0.454,0.239,0.454,0.232,0.454,0.324,0.454,0.321,0.454,0.675,0.454,0.669
0.455,0.161,0.455,0.144,0.455,0.137,0.129,0.267,0.129,0.256,0.183,0.471,0.183,0.46,0.455,0.236,0.455,0.235,0.455,0.321,0.455,0.311,0.455,0.681,0.455,0.675
0.456,0.164,0.456,0.147,0.456,0.135,0.129,0.285,0.129,0.287,0.183,0.457,0.183,0.463,0.456,0.233,0.456,0.238,0.456,0.319,0.456,0.316,0.456,0.686,0.456,0.673
0.457,0.161,0.457,0.146,0.457,0.138,0.129,0.267,0.129,0.256,0.184,0.451,0.184,0.437,0.457,0.239,0.457,0.229,0.457,0.318,0.457,0.315,0.457,0.692,0.457,0.675
0.458,0.163,0.458,0.143,0.458,0.138,0.13,0.272,0.13,0.267,0.184,0.457,0.184,0.463,0.458,0.244,0.458,0.233,0.458,0.318,0.458,0.311,0.458,0.698,0.458,0.678
0.459,0.163,0.459,0.138,0.459,0.14,0.13,0.258,0.13,0.256,0.184,0.448,0.184,0.446,0.459,0.236,0.459,0.23,0.459,0.319,0.459,0.321,0.459,0.698,0.459,0.684
0.46,0.163,0.46,0.146,0.46,0.132,0.13,0.281,0.13,0.27,0.185,0.479,0.185,0.466,0.46,0.232,0.46,0.227,0.46,0.325,0.46,0.316,0.46,0.693,0.46,0.695
0.461,0.16,0.461,0.146,0.461,0.137,0.13,0.275,0.13,0.261,0.185,0.46,0.185,0.46,0.461,0.235,0.461,0.236,0.461,0.311,0.461,0.313,0.461,0.701,0.461,0.69
0.462,0.163,0.462,0.143,0.462,0.135,0.131,0.264,0.131,0.258,0.185,0.454,0.185,0.449,0.462,0.238,0.462,0.227,0.462,0.322,0.462,0.322,0.462,0.703,0.462,0.686
0.463,0.161,0.463,0.141,0.463,0.138,0.131,0.264,0.131,0.264,0.186,0.469,0.186,0.442,0.463,0.23,0.463,0.227,0.463,0.318,0.463,0.322,0.463,0.701,0.463,0.692
0.464,0.164,0.464,0.144,0.464,0.138,0.131,0.284,0.131,0.288,0.186,0.454,0.186,0.453,0.464,0.233,0.464,0.232,0.464,0.325,0.464,0.316,0.464,0.703,0.464,0.692
0.465,0.158,0.465,0.144,0.465,0.144,0.131,0.281,0.131,0.273,0.187,0.457,0.187,0.445,0.465,0.232,0.465,0.23,0.465,0.318,0.465,0.319,0.465,0.712,0.465,0.701
0.466,0.166,0.466,0.141,0.466,0.143,0.132,0.267,0.132,0.273,0.187,0.453,0.187,0.443,0.466,0.238,0.466,0.226,0.466,0.325,0.466,0.313,0.466,0.709,0.466,0.698
0.467,0.163,0.467,0.146,0.467,0.138,0.132,0.259,0.132,0.256,0.187,0.46,0.187,0.439,0.467,0.244,0.467,0.236,0.467,0.318,0.467,0.321,0.467,0.716,0.467,0.698
0.468,0.16,0.468,0.147,0.468,0.138,0.132,0.272,0.132,0.265,0.188,0.468,0.188,0.462,0.468,0.232,0.468,0.229,0.468,0.322,0.468,0.316,0.468,0.716,0.468,0.704
0.469,0.163,0.469,0.146,0.469,0.143,0.132,0.282,0.132,0.255,0.188,0.428,0.188,0.445,0.469,0.238,0.469,0.222,0.469,0.319,0.469,0.318,0.469,0.729,0.469,0.704
0.47,0.166,0.47,0.144,0.47,0.144,0.133,0.259,0.133,0.268,0.189,0.442,0.189,0.437,0.47,0.236,0.47,0.227,0.47,0.319,0.47,0.311,0.47,0.727,0.47,0.703
0.471,0.164,0.471,0.143,0.471,0.141,0.133,0.262,0.133,0.258,0.189,0.462,0.189,0.437,0.471,0.233,0.471,0.226,0.471,0.321,0.471,0.315,0.471,0.732,0.471,0.701
0.472,0.16,0.472,0.144,0.472,0.137,0.133,0.287,0.133,0.268,0.189,0.433,0.189,0.443,0.472,0.244,0.472,0.226,0.472,0.315,0.472,0.311,0.472,0.729,0.472,0.712
