E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA
0.103,0.245,0.103,0.245,0.186,0.468,0.186,0.462,0.352,0.281,0.352,0.275,0.352,0.31,0.352,0.296,0.316,-0.481,0.316,-0.48,0.316,-0.879,0.316,-0.873
0.103,0.241,0.103,0.224,0.186,0.465,0.186,0.451,0.353,0.279,0.353,0.261,0.353,0.299,0.353,0.299,0.314,-0.491,0.314,-0.489,0.314,-0.897,0.314,-0.888
0.103,0.236,0.103,0.218,0.187,0.477,0.187,0.472,0.354,0.264,0.354,0.256,0.354,0.295,0.354,0.287,0.312,-0.498,0.312,-0.492,0.312,-0.919,0.312,-0.916
0.104,0.242,0.104,0.226,0.188,0.472,0.188,0.463,0.355,0.262,0.355,0.249,0.355,0.285,0.355,0.279,0.31,-0.5,0.31,-0.491,0.31,-0.942,0.31,-0.931
0.104,0.239,0.104,0.224,0.188,0.477,0.188,0.465,0.356,0.252,0.356,0.239,0.356,0.273,0.356,0.276,0.308,-0.504,0.308,-0.497,0.308,-0.958,0.308,-0.951
0.104,0.235,0.104,0.23,0.189,0.469,0.189,0.463,0.357,0.25,0.357,0.236,0.357,0.279,0.357,0.27,0.306,-0.503,0.306,-0.5,0.306,-0.968,0.306,-0.965
0.104,0.232,0.104,0.224,0.189,0.48,0.189,0.46,0.358,0.244,0.358,0.23,0.358,0.267,0.358,0.256,0.304,-0.506,0.304,-0.503,0.304,-0.98,0.304,-0.972
0.105,0.23,0.105,0.23,0.19,0.476,0.19,0.465,0.359,0.235,0.359,0.221,0.359,0.258,0.359,0.253,0.302,-0.508,0.302,-0.501,0.302,-0.986,0.302,-0.977
0.105,0.241,0.105,0.229,0.19,0.483,0.19,0.468,0.36,0.227,0.36,0.215,0.36,0.255,0.36,0.249,0.3,-0.511,0.3,-0.504,0.3,-0.997,0.3,-0.994
0.105,0.229,0.105,0.222,0.191,0.474,0.191,0.466,0.361,0.226,0.361,0.212,0.361,0.255,0.361,0.244,0.298,-0.511,0.298,-0.506,0.298,-0.995,0.298,-0.997
0.105,0.239,0.105,0.222,0.191,0.486,0.191,0.474,0.362,0.219,0.362,0.201,0.362,0.239,0.362,0.238,0.296,-0.514,0.296,-0.508,0.296,-1.014,0.296,-1.006
0.106,0.227,0.106,0.224,0.192,0.491,0.192,0.469,0.363,0.21,0.363,0.199,0.363,0.233,0.363,0.23,0.294,-0.512,0.294,-0.514,0.294,-1.018,0.294,-1.015
0.106,0.236,0.106,0.226,0.192,0.48,0.192,0.472,0.364,0.212,0.364,0.193,0.364,0.23,0.364,0.227,0.292,-0.52,0.292,-0.52,0.292,-1.029,0.292,-1.024
0.106,0.23,0.106,0.222,0.193,0.479,0.193,0.474,0.365,0.201,0.365,0.195,0.365,0.222,0.365,0.221,0.29,-0.517,0.29,-0.518,0.29,-1.032,0.29,-1.023
0.106,0.218,0.106,0.229,0.193,0.486,0.193,0.472,0.366,0.196,0.366,0.187,0.366,0.219,0.366,0.212,0.288,-0.524,0.288,-0.52,0.288,-1.041,0.288,-1.043
0.107,0.235,0.107,0.224,0.194,0.488,0.194,0.463,0.367,0.193,0.367,0.18,0.367,0.222,0.367,0.218,0.286,-0.529,0.286,-0.526,0.286,-1.046,0.286,-1.041
0.107,0.245,0.107,0.236,0.194,0.486,0.194,0.472,0.368,0.189,0.368,0.176,0.368,0.215,0.368,0.206,0.284,-0.535,0.284,-0.538,0.284,-1.063,0.284,-1.06
0.107,0.236,0.107,0.23,0.195,0.488,0.195,0.466,0.369,0.186,0.369,0.178,0.369,0.207,0.369,0.199,0.282,-0.543,0.282,-0.541,0.282,-1.07,0.282,-1.066
0.107,0.235,0.107,0.235,0.195,0.495,0.195,0.485,0.37,0.183,0.37,0.166,0.37,0.201,0.37,0.204,0.28,-0.552,0.28,-0.552,0.28,-1.081,0.28,-1.078
0.108,0.233,0.108,0.241,0.196,0.488,0.196,0.477,0.371,0.18,0.371,0.167,0.371,0.203,0.371,0.198,0.278,-0.561,0.278,-0.558,0.278,-1.09,0.278,-1.087
0.108,0.238,0.108,0.229,0.196,0.486,0.196,0.465,0.372,0.178,0.372,0.16,0.372,0.203,0.372,0.193,0.276,-0.577,0.276,-0.575,0.276,-1.115,0.276,-1.11
0.108,0.23,0.108,0.229,0.197,0.48,0.197,0.465,0.373,0.169,0.373,0.16,0.373,0.198,0.373,0.195,0.274,-0.586,0.274,-0.584,0.274,-1.124,0.274,-1.124
0.108,0.236,0.108,0.224,0.197,0.483,0.197,0.476,0.374,0.167,0.374,0.16,0.374,0.193,0.374,0.189,0.272,-0.603,0.272,-0.601,0.272,-1.135,0.272,-1.136
0.109,0.229,0.109,0.229,0.198,0.486,0.198,0.466,0.375,0.166,0.375,0.157,0.375,0.193,0.375,0.189,0.27,-0.612,0.27,-0.61,0.27,-1.159,0.27,-1.158
0.109,0.255,0.109,0.244,0.198,0.488,0.198,0.466,0.376,0.166,0.376,0.16,0.376,0.193,0.376,0.186,0.268,-0.63,0.268,-0.635,0.268,-1.181,0.268,-1.182
0.109,0.229,0.109,0.241,0.199,0.462,0.199,0.457,0.377,0.161,0.377,0.163,0.377,0.189,0.377,0.19,0.266,-0.649,0.266,-0.647,0.266,-1.201,0.266,-1.204
0.11,0.236,0.11,0.232,0.199,0.472,0.199,0.457,0.378,0.161,0.378,0.147,0.378,0.195,0.378,0.184,0.264,-0.669,0.264,-0.672,0.264,-1.227,0.264,-1.23
0.11,0.23,0.11,0.222,0.2,0.466,0.2,0.445,0.379,0.157,0.379,0.157,0.379,0.187,0.379,0.184,0.262,-0.692,0.262,-0.682,0.262,-1.259,0.262,-1.259
0.11,0.239,0.11,0.235,0.2,0.46,0.2,0.439,0.38,0.153,0.38,0.146,0.38,0.181,0.38,0.18,0.26,-0.722,0.26,-0.725,0.26,-1.307,0.26,-1.305
0.11,0.229,0.11,0.216,0.201,0.451,0.201,0.443,0.381,0.16,0.381,0.147,0.381,0.183,0.381,0.18,0.258,-0.735,0.258,-0.735,0.258,-1.328,0.258,-1.325
0.111,0.236,0.111,0.241,0.201,0.453,0.201,0.445,0.382,0.152,0.382,0.143,0.382,0.186,0.382,0.178,0.256,-0.761,0.256,-0.761,0.256,-1.357,0.256,-1.356
0.111,0.224,0.111,0.221,0.202,0.448,0.202,0.43,0.383,0.15,0.383,0.144,0.383,0.181,0.383,0.178,0.254,-0.785,0.254,-0.784,0.254,-1.392,0.254,-1.394
0.111,0.239,0.111,0.23,0.202,0.446,0.202,0.431,0.384,0.15,0.384,0.143,0.384,0.184,0.384,0.176,0.252,-0.816,0.252,-0.808,0.252,-1.44,0.252,-1.435
0.111,0.236,0.111,0.229,0.203,0.451,0.203,0.426,0.385,0.147,0.385,0.143,0.385,0.181,0.385,0.178,0.25,-0.839,0.25,-0.836,0.25,-1.48,0.25,-1.478
0.112,0.247,0.112,0.226,0.203,0.442,0.203,0.439,0.386,0.15,0.386,0.14,0.386,0.183,0.386,0.178,0.248,-0.868,0.248,-0.871,0.248,-1.524,0.248,-1.526
0.112,0.238,0.112,0.229,0.203,0.437,0.203,0.422,0.387,0.147,0.387,0.144,0.387,0.183,0.387,0.176,0.246,-0.899,0.246,-0.899,0.246,-1.569,0.246,-1.572
0.112,0.242,0.112,0.221,0.204,0.425,0.204,0.43,0.388,0.153,0.388,0.14,0.388,0.178,0.388,0.18,0.244,-0.942,0.244,-0.935,0.244,-1.632,0.244,-1.632
0.112,0.235,0.112,0.235,0.204,0.422,0.204,0.408,0.389,0.146,0.389,0.137,0.389,0.186,0.389,0.186,0.242,-0.963,0.242,-0.963,0.242,-1.688,0.242,-1.678
0.113,0.227,0.113,0.224,0.205,0.431,0.205,0.414,0.39,0.147,0.39,0.134,0.39,0.183,0.39,0.175,0.24,-1.003,0.24,-0.998,0.24,-1.738,0.24,-1.739
0.113,0.236,0.113,0.226,0.205,0.422,0.205,0.405,0.391,0.149,0.391,0.14,0.391,0.175,0.391,0.176,0.238,-1.038,0.238,-1.032,0.238,-1.8,0.238,-1.793
0.113,0.235,0.113,0.236,0.206,0.417,0.206,0.4,0.392,0.144,0.392,0.144,0.392,0.178,0.392,0.189,0.236,-1.077,0.236,-1.075,0.236,-1.871,0.236,-1.862
0.113,0.238,0.113,0.233,0.206,0.408,0.206,0.394,0.393,0.141,0.393,0.138,0.393,0.17,0.393,0.178,0.234,-1.113,0.234,-1.109,0.234,-1.937,0.234,-1.929
0.114,0.241,0.114,0.233,0.207,0.411,0.207,0.4,0.394,0.144,0.394,0.14,0.394,0.183,0.394,0.183,0.232,-1.156,0.232,-1.15,0.232,-2.006,0.232,-2.003
0.114,0.232,0.114,0.218,0.207,0.4,0.207,0.39,0.395,0.147,0.395,0.144,0.395,0.181,0.395,0.181,0.23,-1.195,0.23,-1.189,0.23,-2.075,0.23,-2.067
0.114,0.233,0.114,0.241,0.208,0.402,0.208,0.393,0.396,0.141,0.396,0.141,0.396,0.184,0.396,0.183,0.228,-1.251,0.228,-1.238,0.228,-2.165,0.228,-2.162
0.114,0.242,0.114,0.226,0.208,0.4,0.208,0.379,0.397,0.147,0.397,0.141,0.397,0.186,0.397,0.184,0.226,-1.273,0.226,-1.271,0.226,-2.227,0.226,-2.216
0.115,0.236,0.115,0.222,0.209,0.397,0.209,0.388,0.398,0.143,0.398,0.14,0.398,0.189,0.398,0.176,0.224,-1.316,0.224,-1.308,0.224,-2.313,0.224,-2.302
0.115,0.233,0.115,0.219,0.209,0.391,0.209,0.387,0.399,0.15,0.399,0.138,0.399,0.181,0.399,0.18,0.222,-1.356,0.222,-1.353,0.222,-2.385,0.222,-2.376
0.115,0.239,0.115,0.233,0.21,0.384,0.21,0.379,0.4,0.144,0.4,0.14,0.4,0.186,0.4,0.186,0.22,-1.405,0.22,-1.402,0.22,-2.468,0.22,-2.46
0.115,0.235,0.115,0.235,0.21,0.39,0.21,0.377,0.401,0.153,0.401,0.137,0.401,0.184,0.401,0.187,0.218,-1.442,0.218,-1.437,0.218,-2.55,0.218,-2.541
0.116,0.226,0.116,0.238,0.211,0.388,0.211,0.384,0.402,0.144,0.402,0.135,0.402,0.187,0.402,0.184,0.216,-1.494,0.216,-1.483,0.216,-2.635,0.216,-2.624
0.116,0.236,0.116,0.229,0.211,0.382,0.211,0.382,0.403,0.144,0.403,0.14,0.403,0.195,0.403,0.192,0.214,-1.535,0.214,-1.527,0.214,-2.721,0.214,-2.71
0.116,0.235,0.116,0.224,0.212,0.374,0.212,0.364,0.404,0.144,0.404,0.141,0.404,0.186,0.404,0.187,0.212,-1.593,0.212,-1.581,0.212,-2.822,0.212,-2.805
0.116,0.236,0.116,0.232,0.212,0.368,0.212,0.382,0.405,0.144,0.405,0.14,0.405,0.193,0.405,0.187,0.21,-1.63,0.21,-1.621,0.21,-2.889,0.21,-2.886
0.117,0.241,0.117,0.229,0.213,0.368,0.213,0.364,0.406,0.146,0.406,0.137,0.406,0.192,0.406,0.19,0.208,-1.684,0.208,-1.672,0.208,-2.991,0.208,-2.975
0.117,0.236,0.117,0.233,0.213,0.365,0.213,0.356,0.407,0.152,0.407,0.138,0.407,0.19,0.407,0.195,0.206,-1.73,0.206,-1.718,0.206,-3.081,0.206,-3.067
0.117,0.236,0.117,0.226,0.214,0.362,0.214,0.356,0.408,0.143,0.408,0.144,0.408,0.193,0.408,0.193,0.204,-1.788,0.204,-1.777,0.204,-3.175,0.204,-3.173
0.117,0.236,0.117,0.229,0.214,0.361,0.214,0.353,0.409,0.15,0.409,0.14,0.409,0.203,0.409,0.196,0.202,-1.831,0.202,-1.817,0.202,-3.287,0.202,-3.264
0.117,0.236,0.117,0.233,0.215,0.359,0.215,0.361,0.41,0.147,0.41,0.14,0.41,0.193,0.41,0.184,0.2,-1.897,0.2,-1.876,0.2,-3.397,0.2,-3.368
0.118,0.226,0.118,0.222,0.215,0.356,0.215,0.348,0.411,0.147,0.411,0.135,0.411,0.198,0.411,0.193,0.198,-1.949,0.198,-1.926,0.198,-3.503,0.198,-3.474
0.118,0.238,0.118,0.229,0.216,0.353,0.216,0.344,0.412,0.143,0.412,0.143,0.412,0.198,0.412,0.203,0.196,-2.029,0.196,-2.007,0.196,-3.632,0.196,-3.604
0.118,0.23,0.118,0.221,0.216,0.341,0.216,0.333,0.413,0.149,0.413,0.135,0.413,0.192,0.413,0.201,0.194,-2.061,0.194,-2.04,0.194,-3.728,0.194,-3.701
0.118,0.241,0.118,0.232,0.217,0.35,0.217,0.338,0.414,0.146,0.414,0.137,0.414,0.199,0.414,0.195,0.192,-2.119,0.192,-2.089,0.192,-3.84,0.192,-3.799
0.119,0.224,0.119,0.236,0.217,0.347,0.217,0.336,0.415,0.149,0.415,0.137,0.415,0.204,0.415,0.203,0.19,-2.149,0.19,-2.132,0.19,-3.946,0.19,-3.906
0.119,0.262,0.119,0.245,0.218,0.35,0.218,0.338,0.416,0.15,0.416,0.135,0.416,0.204,0.416,0.198,0.188,-2.205,0.188,-2.176,0.188,-4.057,0.188,-4.023
0.119,0.232,0.119,0.224,0.219,0.325,0.219,0.331,0.417,0.146,0.417,0.138,0.417,0.203,0.417,0.201,0.186,-2.224,0.186,-2.204,0.186,-4.138,0.186,-4.103
0.119,0.235,0.119,0.229,0.219,0.341,0.219,0.333,0.418,0.146,0.418,0.138,0.418,0.206,0.418,0.21,0.184,-2.254,0.184,-2.234,0.184,-4.234,0.184,-4.188
0.12,0.229,0.12,0.229,0.22,0.328,0.22,0.322,0.419,0.146,0.419,0.141,0.419,0.21,0.419,0.21,0.182,-2.267,0.182,-2.247,0.182,-4.291,0.182,-4.26
0.12,0.265,0.12,0.224,0.22,0.324,0.22,0.319,0.42,0.152,0.42,0.14,0.42,0.212,0.42,0.209,0.18,-2.291,0.18,-2.284,0.18,-4.363,0.18,-4.326
0.12,0.239,0.12,0.227,0.221,0.322,0.221,0.313,0.421,0.149,0.421,0.14,0.421,0.21,0.421,0.21,0.178,-2.29,0.178,-2.276,0.178,-4.386,0.178,-4.359
0.12,0.235,0.12,0.23,0.221,0.328,0.221,0.322,0.422,0.152,0.422,0.138,0.422,0.207,0.422,0.21,0.176,-2.296,0.176,-2.287,0.176,-4.417,0.176,-4.391
0.121,0.229,0.121,0.226,0.222,0.319,0.222,0.316,0.423,0.149,0.423,0.143,0.423,0.21,0.423,0.212,0.174,-2.296,0.174,-2.291,0.174,-4.425,0.174,-4.409
0.121,0.236,0.121,0.233,0.222,0.31,0.222,0.318,0.424,0.147,0.424,0.143,0.424,0.221,0.424,0.218,0.172,-2.305,0.172,-2.305,0.172,-4.448,0.172,-4.44
0.121,0.233,0.121,0.216,0.223,0.318,0.223,0.307,0.425,0.15,0.425,0.138,0.425,0.219,0.425,0.221,0.17,-2.304,0.17,-2.29,0.17,-4.449,0.17,-4.443
0.121,0.227,0.121,0.232,0.223,0.319,0.223,0.31,0.426,0.152,0.426,0.143,0.426,0.232,0.426,0.221,0.168,-2.313,0.168,-2.314,0.168,-4.458,0.168,-4.455
0.122,0.229,0.122,0.222,0.224,0.311,0.224,0.301,0.427,0.152,0.427,0.138,0.427,0.226,0.427,0.227,0.166,-2.311,0.166,-2.311,0.166,-4.466,0.166,-4.475
0.122,0.235,0.122,0.238,0.224,0.307,0.224,0.299,0.428,0.15,0.428,0.14,0.428,0.221,0.428,0.229,0.164,-2.337,0.164,-2.34,0.164,-4.504,0.164,-4.504
0.122,0.238,0.122,0.232,0.225,0.302,0.225,0.299,0.429,0.15,0.429,0.146,0.429,0.233,0.429,0.226,0.162,-2.325,0.162,-2.333,0.162,-4.494,0.162,-4.501
0.122,0.235,0.122,0.222,0.225,0.305,0.225,0.302,0.43,0.147,0.43,0.144,0.43,0.233,0.43,0.226,0.16,-2.339,0.16,-2.339,0.16,-4.5,0.16,-4.506
0.123,0.232,0.123,0.224,0.226,0.302,0.226,0.293,0.431,0.152,0.431,0.143,0.431,0.23,0.431,0.233,0.158,-2.348,0.158,-2.354,0.158,-4.504,0.158,-4.518
0.123,0.239,0.123,0.236,0.226,0.301,0.226,0.298,0.432,0.155,0.432,0.146,0.432,0.235,0.432,0.235,0.156,-2.366,0.156,-2.373,0.156,-4.529,0.156,-4.541
0.123,0.242,0.123,0.229,0.227,0.284,0.227,0.295,0.433,0.147,0.433,0.144,0.433,0.238,0.433,0.242,0.154,-2.369,0.154,-2.376,0.154,-4.544,0.154,-4.553
0.123,0.236,0.123,0.23,0.227,0.299,0.227,0.293,0.434,0.152,0.434,0.143,0.434,0.245,0.434,0.239,0.152,-2.383,0.152,-2.394,0.152,-4.566,0.152,-4.576
0.124,0.23,0.124,0.226,0.228,0.295,0.228,0.287,0.435,0.155,0.435,0.146,0.435,0.245,0.435,0.241,0.15,-2.4,0.15,-2.4,0.15,-4.584,0.15,-4.599
0.124,0.23,0.124,0.229,0.228,0.29,0.228,0.285,0.436,0.15,0.436,0.143,0.436,0.249,0.436,0.247,0.148,-2.426,0.148,-2.435,0.148,-4.627,0.148,-4.645
0.124,0.236,0.124,0.229,0.229,0.285,0.229,0.284,0.437,0.155,0.437,0.152,0.437,0.249,0.437,0.247,0.146,-2.426,0.146,-2.428,0.146,-4.645,0.146,-4.658
0.125,0.235,0.125,0.23,0.229,0.288,0.229,0.273,0.438,0.158,0.438,0.15,0.438,0.259,0.438,0.253,0.144,-2.435,0.144,-2.442,0.144,-4.67,0.144,-4.681
0.125,0.235,0.125,0.235,0.23,0.282,0.23,0.276,0.439,0.158,0.439,0.15,0.439,0.262,0.439,0.259,0.142,-2.435,0.142,-2.445,0.142,-4.684,0.142,-4.707
0.125,0.233,0.125,0.236,0.23,0.278,0.23,0.275,0.44,0.157,0.44,0.149,0.44,0.265,0.44,0.262,0.14,-2.457,0.14,-2.461,0.14,-4.733,0.14,-4.741
0.125,0.23,0.125,0.227,0.231,0.273,0.231,0.267,0.441,0.158,0.441,0.15,0.441,0.267,0.441,0.261,0.138,-2.449,0.138,-2.457,0.138,-4.741,0.138,-4.76
0.126,0.23,0.126,0.222,0.231,0.282,0.231,0.275,0.442,0.161,0.442,0.152,0.442,0.265,0.442,0.27,0.136,-2.458,0.136,-2.466,0.136,-4.765,0.136,-4.787
0.126,0.241,0.126,0.227,0.232,0.272,0.232,0.272,0.443,0.16,0.443,0.16,0.443,0.272,0.443,0.272,0.134,-2.458,0.134,-2.466,0.134,-4.783,0.134,-4.802
0.126,0.239,0.126,0.23,0.232,0.282,0.232,0.27,0.444,0.163,0.444,0.155,0.444,0.276,0.444,0.273,0.132,-2.488,0.132,-2.495,0.132,-4.84,0.132,-4.854
0.126,0.232,0.126,0.224,0.233,0.268,0.233,0.268,0.445,0.161,0.445,0.152,0.445,0.281,0.445,0.278,0.13,-2.465,0.13,-2.468,0.13,-4.828,0.13,-4.851
0.127,0.236,0.127,0.221,0.233,0.272,0.233,0.262,0.446,0.16,0.446,0.153,0.446,0.282,0.446,0.284,0.128,-2.465,0.128,-2.468,0.128,-4.84,0.128,-4.856
0.127,0.226,0.127,0.229,0.234,0.262,0.234,0.258,0.447,0.164,0.447,0.153,0.447,0.282,0.447,0.278,0.126,-2.46,0.126,-2.46,0.126,-4.842,0.126,-4.856
0.127,0.241,0.127,0.212,0.234,0.253,0.234,0.255,0.448,0.164,0.448,0.157,0.448,0.285,0.448,0.288,0.124,-2.474,0.124,-2.471,0.124,-4.86,0.124,-4.869
0.127,0.233,0.127,0.23,0.234,0.259,0.234,0.255,0.449,0.17,0.449,0.16,0.449,0.284,0.449,0.288,0.122,-2.465,0.122,-2.463,0.122,-4.852,0.122,-4.868
0.128,0.235,0.128,0.222,0.235,0.265,0.235,0.261,0.45,0.167,0.45,0.163,0.45,0.291,0.45,0.293,0.12,-2.466,0.12,-2.469,0.12,-4.862,0.12,-4.872
0.128,0.236,0.128,0.227,0.235,0.253,0.235,0.25,0.451,0.172,0.451,0.161,0.451,0.291,0.451,0.298,0.118,-2.463,0.118,-2.465,0.118,-4.862,0.118,-4.872
0.128,0.235,0.128,0.236,0.236,0.247,0.236,0.255,0.452,0.167,0.452,0.164,0.452,0.295,0.452,0.293,0.116,-2.483,0.116,-2.491,0.116,-4.892,0.116,-4.892
0.128,0.236,0.128,0.23,0.236,0.245,0.236,0.249,0.453,0.173,0.453,0.169,0.453,0.299,0.453,0.293,0.114,-2.472,0.114,-2.472,0.114,-4.882,0.114,-4.891
0.129,0.235,0.129,0.23,0.237,0.253,0.237,0.245,0.454,0.175,0.454,0.163,0.454,0.302,0.454,0.299,0.112,-2.474,0.112,-2.478,0.112,-4.88,0.112,-4.889
0.129,0.224,0.129,0.229,0.237,0.25,0.237,0.241,0.455,0.17,0.455,0.16,0.455,0.304,0.455,0.307,0.11,-2.472,0.11,-2.475,0.11,-4.883,0.11,-4.888
0.129,0.252,0.129,0.253,0.238,0.256,0.238,0.25,0.456,0.17,0.456,0.164,0.456,0.302,0.456,0.298,0.108,-2.492,0.108,-2.489,0.108,-4.903,0.108,-4.908
0.129,0.233,0.129,0.23,0.238,0.235,0.238,0.229,0.457,0.172,0.457,0.166,0.457,0.31,0.457,0.305,0.106,-2.481,0.106,-2.478,0.106,-4.891,0.106,-4.903
0.13,0.224,0.13,0.23,0.239,0.241,0.239,0.235,0.458,0.173,0.458,0.172,0.458,0.305,0.458,0.301,0.104,-2.492,0.104,-2.492,0.104,-4.906,0.104,-4.909
0.13,0.23,0.13,0.221,0.239,0.239,0.239,0.233,0.459,0.184,0.459,0.17,0.459,0.304,0.459,0.302,0.102,-2.491,0.102,-2.484,0.102,-4.905,0.102,-4.908
0.13,0.236,0.13,0.232,0.24,0.235,0.24,0.233,0.46,0.181,0.46,0.169,0.46,0.302,0.46,0.301,,,,,,,,
0.13,0.226,0.13,0.232,0.24,0.233,0.24,0.222,0.461,0.176,0.461,0.169,0.461,0.304,0.461,0.299,,,,,,,,
0.131,0.236,0.131,0.226,0.241,0.23,0.241,0.222,0.462,0.175,0.462,0.167,0.462,0.307,0.462,0.296,,,,,,,,
0.131,0.233,0.131,0.232,0.241,0.227,0.241,0.23,0.463,0.18,0.463,0.166,0.463,0.299,0.463,0.299,,,,,,,,
0.131,0.249,0.131,0.245,0.242,0.224,0.242,0.219,0.464,0.175,0.464,0.167,0.464,0.298,0.464,0.295,,,,,,,,
0.131,0.238,0.131,0.235,0.242,0.233,0.242,0.219,0.465,0.17,0.465,0.167,0.465,0.293,0.465,0.291,,,,,,,,
0.132,0.235,0.132,0.235,0.243,0.23,0.243,0.221,0.466,0.176,0.466,0.175,0.466,0.298,0.466,0.288,,,,,,,,
0.132,0.224,0.132,0.23,0.243,0.227,0.243,0.216,0.467,0.178,0.467,0.166,0.467,0.299,0.467,0.288,,,,,,,,
0.132,0.239,0.132,0.224,0.244,0.221,0.244,0.218,0.468,0.18,0.468,0.167,0.468,0.288,0.468,0.291,,,,,,,,
0.132,0.232,0.132,0.227,0.244,0.213,0.244,0.213,0.469,0.18,0.469,0.17,0.469,0.291,0.469,0.285,,,,,,,,
0.133,0.239,0.133,0.226,0.245,0.215,0.245,0.207,0.47,0.175,0.47,0.161,0.47,0.287,0.47,0.284,,,,,,,,
0.133,0.224,0.133,0.218,0.245,0.212,0.245,0.206,0.471,0.176,0.471,0.164,0.471,0.275,0.471,0.284,,,,,,,,
0.133,0.233,0.133,0.227,0.246,0.207,0.246,0.212,0.472,0.181,0.472,0.167,0.472,0.279,0.472,0.279,,,,,,,,
0.133,0.232,0.133,0.227,0.246,0.212,0.246,0.204,0.473,0.181,0.473,0.175,0.473,0.281,0.473,0.272,,,,,,,,
0.134,0.233,0.134,0.227,0.247,0.207,0.247,0.198,0.474,0.178,0.474,0.166,0.474,0.275,0.474,0.267,,,,,,,,
0.134,0.23,0.134,0.221,0.247,0.203,0.247,0.196,0.475,0.178,0.475,0.167,0.475,0.276,0.475,0.268,,,,,,,,
0.134,0.222,0.134,0.226,0.248,0.201,0.248,0.199,0.476,0.173,0.476,0.164,0.476,0.275,0.476,0.261,,,,,,,,
0.134,0.227,0.134,0.226,0.248,0.189,0.248,0.199,0.477,0.178,0.477,0.169,0.477,0.273,0.477,0.264,,,,,,,,
0.135,0.241,0.135,0.233,0.249,0.199,0.249,0.193,0.478,0.175,0.478,0.167,0.478,0.262,0.478,0.261,,,,,,,,
0.135,0.219,0.135,0.227,0.25,0.193,0.25,0.19,0.479,0.18,0.479,0.167,0.479,0.261,0.479,0.261,,,,,,,,
0.135,0.23,0.135,0.229,0.25,0.199,0.25,0.192,0.48,0.176,0.48,0.167,0.48,0.252,0.48,0.261,,,,,,,,
0.135,0.245,0.135,0.221,0.251,0.19,0.251,0.189,0.481,0.176,0.481,0.167,0.481,0.262,0.481,0.255,,,,,,,,
0.136,0.23,0.136,0.221,0.251,0.19,0.251,0.183,0.482,0.178,0.482,0.166,0.482,0.244,0.482,0.252,,,,,,,,
0.136,0.219,0.136,0.222,0.252,0.187,0.252,0.183,0.483,0.176,0.483,0.169,0.483,0.245,0.483,0.245,,,,,,,,
0.136,0.233,0.136,0.226,0.252,0.184,0.252,0.184,0.484,0.173,0.484,0.167,0.484,0.249,0.484,0.247,,,,,,,,
0.136,0.236,0.136,0.216,0.253,0.184,0.253,0.183,0.485,0.18,0.485,0.16,0.485,0.25,0.485,0.249,,,,,,,,
0.137,0.236,0.137,0.229,0.253,0.18,0.253,0.173,0.486,0.169,0.486,0.169,0.486,0.244,0.486,0.244,,,,,,,,
0.137,0.222,0.137,0.233,0.254,0.178,0.254,0.18,0.487,0.18,0.487,0.167,0.487,0.25,0.487,0.242,,,,,,,,
0.137,0.238,0.137,0.215,0.254,0.172,0.254,0.176,0.488,0.18,0.488,0.172,0.488,0.242,0.488,0.238,,,,,,,,
0.137,0.23,0.137,0.218,0.255,0.18,0.255,0.175,0.489,0.178,0.489,0.16,0.489,0.238,0.489,0.233,,,,,,,,
0.138,0.227,0.138,0.229,0.255,0.173,0.255,0.17,0.49,0.17,0.49,0.169,0.49,0.245,0.49,0.236,,,,,,,,
0.138,0.238,0.138,0.229,0.256,0.173,0.256,0.169,0.491,0.17,0.491,0.164,0.491,0.244,0.491,0.241,,,,,,,,
0.138,0.23,0.138,0.236,0.256,0.166,0.256,0.166,0.492,0.175,0.492,0.17,0.492,0.235,0.492,0.239,,,,,,,,
0.138,0.229,0.138,0.224,0.257,0.169,0.257,0.161,0.493,0.175,0.493,0.169,0.493,0.238,0.493,0.239,,,,,,,,
0.139,0.229,0.139,0.216,0.257,0.175,0.257,0.166,0.494,0.178,0.494,0.169,0.494,0.235,0.494,0.236,,,,,,,,
0.139,0.226,0.139,0.227,0.258,0.166,0.258,0.176,0.495,0.175,0.495,0.172,0.495,0.232,0.495,0.235,,,,,,,,
0.139,0.255,0.139,0.247,0.258,0.164,0.258,0.166,0.496,0.183,0.496,0.172,0.496,0.235,0.496,0.238,,,,,,,,
0.139,0.23,0.139,0.216,0.259,0.155,0.259,0.166,0.497,0.18,0.497,0.178,0.497,0.232,0.497,0.23,,,,,,,,
0.14,0.23,0.14,0.226,0.259,0.17,0.259,0.164,0.498,0.183,0.498,0.175,0.498,0.239,0.498,0.232,,,,,,,,
0.14,0.226,0.14,0.232,0.26,0.161,0.26,0.161,0.499,0.176,0.499,0.169,0.499,0.233,0.499,0.238,,,,,,,,
0.14,0.232,0.14,0.227,0.26,0.161,0.26,0.158,0.5,0.137,0.5,0.134,0.5,0.193,0.5,0.19,,,,,,,,
0.14,0.229,0.14,0.224,0.261,0.158,0.261,0.157,0.499,0.094,0.499,0.088,0.499,0.141,0.499,0.129,,,,,,,,
